Approved Symbol	Approved Name	Chromosome	Accession Numbers	Entrez Gene ID	Ensembl Gene ID	RefSeq IDs	UniProt ID(supplied by UniProt)	UCSC ID(supplied by UCSC)
FAM182A	family with sequence similarity 182 member A	20p11.1	AL391119	284800	ENSG00000125804	NR_026713	Q5T1J6	uc010gdq.4
FAM182B	family with sequence similarity 182 member B	20p11.1		728882	ENSG00000175170	NR_026714	Q5T319	uc002wve.4
FAM209A	family with sequence similarity 209 member A	20q13.31	AL109806	200232	ENSG00000124103		Q5JX71	uc002xxx.4
FAM209B	family with sequence similarity 209 member B	20q13.31	AL109806	388799	ENSG00000213714		Q5JX69	uc002xxz.5
FAM210B	family with sequence similarity 210 member B	20q13.2	AL121914	116151	ENSG00000124098	NM_080821	Q96KR6	uc002xxc.4
FAM217B	family with sequence similarity 217 member B	20q13.33	AL109928	63939	ENSG00000196227	NM_022106	Q9NTX9	uc002yba.4
FASTKD5	FAST kinase domains 5	20p13	BC007413	60493	ENSG00000215251	NM_021826	Q7L8L6	uc002whz.5
FAT1P1	FAT atypical cadherin 1 pseudogene 1	20p12.2	AL050403	170513	ENSG00000217809			
FDX1P1	ferredoxin 1 pseudogene 1	20q11.22	M34787	2231	ENSG00000181741	NG_001117		
FER1L4	fer-1 like family member 4, pseudogene	20q11.22	AL121586	80307	ENSG00000088340	NR_024377	A9Z1Z3	
FERMT1	fermitin family member 1	20p12.3	AK000123	55612	ENSG00000101311	NM_017671	Q9BQL6	uc002wmr.3
FGFR3P3	fibroblast growth factor receptor 3 pseudogene 3	20p12.3		100462816		NG_021985		
FITM2	fat storage inducing transmembrane protein 2	20q13.12	BC029662	128486	ENSG00000197296	XM_371399	Q8N6M3	uc002xlr.2
FKBP1A	FK506 binding protein 1A	20p13	M92423	2280	ENSG00000088832		P62942	uc002wey.4
FKBP1A-SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate)	20p13		100528031		NR_037661		
FLRT3	fibronectin leucine rich transmembrane protein 3	20p12.1	AF169677	23767	ENSG00000125848	NM_013281	Q9NZU0	uc002wow.3
FNDC11	fibronectin type III domain containing 11	20q13.33		79025	ENSG00000125531	NM_024059	Q9BVV2	uc002yfj.4
FOXA2	forkhead box A2	20p11.21	AF147787	3170	ENSG00000125798		Q9Y261	uc002wsn.4
FOXS1	forkhead box S1	20q11.21	AF042831	2307	ENSG00000179772	NM_004118	O43638	uc002wwt.2
FRA20A	fragile site, folic acid type, rare, fra(20)(p11.23)	20p11.23						
FRA20B	fragile site, aphidicolin type, common, fra(20)(p12.2)	20p12.2						
FRG1BP	FSHD region gene 1 family member B, pseudogene	20q11.1		284802	ENSG00000149531	NR_003579		
FRG1CP	FSHD region gene 1 family member C, pseudogene	20q11.1		100289097	ENSG00000282826			
FRG1DP	FSHD region gene 1 family member D, pseudogene	20q11.1		102723316	ENSG00000282870			
FRG1EP	FSHD region gene 1 family member E, pseudogene	20q11.1		102723390	ENSG00000282995			
FRG2EP	FSHD region gene 2 family member E, pseudogene	20q11.1		647476		NR_037925		
FTLP1	ferritin light chain pseudogene 1	20q13.12	AL162458	170514	ENSG00000235525	NG_001037		
FTLP3	ferritin light chain pseudogene 3	20p13		284764	ENSG00000226608	NG_002715		
GAPDHP2	glyceraldehyde-3-phosphate dehydrogenase pseudogene 2	20p12.1	AL121782	170516	ENSG00000236811			
GAPDHP53	glyceraldehyde 3 phosphate dehydrogenase pseudogene 53	20p11.21		100421318	ENSG00000234069	NG_025000		
GAPDHP54	glyceraldehyde 3 phosphate dehydrogenase pseudogene 54	20q13.12		100421319	ENSG00000226769	NG_025009		
GATA5	GATA binding protein 5	20q13.33	BC047790, BC117356	140628	ENSG00000130700	NM_080473	Q9BWX5	uc002ycx.1
GCNT1P1	glucosaminyl (N-acetyl) transferase 1, core 2 pseudogene 1	20p11.23	L42230	170517	ENSG00000236474	NG_001039		
GCNT7	glucosaminyl (N-acetyl) transferase family member 7	20q13.31	AL109806, AK131203	140687	ENSG00000124091	NM_080615	Q6ZNI0	uc061xww.1
GDAP1L1	ganglioside induced differentiation associated protein 1 like 1	20q13.12		78997	ENSG00000124194	NM_024034	Q96MZ0	uc002xlq.5
GDF5	growth differentiation factor 5	20q11.22	X80915	8200	ENSG00000125965		P43026	uc032phz.2
GDF5OS	growth differentiation factor 5 opposite strand	20q11.22	BC085019	554250	ENSG00000204183	NM_001355428	Q5U4N7	uc061wmk.1
GFRA4	GDNF family receptor alpha 4	20p13	AF253318	64096	ENSG00000125861	NM_145762	Q9GZZ7	uc002wio.4
GGT7	gamma-glutamyltransferase 7	20q11.22	AL049709	2686	ENSG00000131067	NM_178026	Q9UJ14	uc002xay.4
GGTLC1	gamma-glutamyltransferase light chain 1	20p11.21	AL133466	92086	ENSG00000149435	NM_178311.2	Q9BX51	uc002wtu.3
GHRH	growth hormone releasing hormone	20q11.23		2691	ENSG00000118702		P01286	uc002xgs.5
GID8	GID complex subunit 8 homolog	20q13.33	AK000609	54994	ENSG00000101193	NM_017896	Q9NWU2	uc002ydy.4
GINS1	GINS complex subunit 1	20p11.21	BC012542	9837	ENSG00000101003	NM_021067	Q14691	uc002wuv.2
GLC1K	glaucoma 1, open angle, K (juvenile-onset)	20p12						
GLRXP1	glutaredoxin pseudogene 1	20q11.23	AL109614	170522	ENSG00000228234			
GMEB2	glucocorticoid modulatory element binding protein 2	20q13.33	AF173867	26205	ENSG00000101216	NM_012384	Q9UKD1	uc002yfq.2
GNAS	GNAS complex locus	20q13.32	M21142	2778	ENSG00000087460	NM_000516	O95467, P63092, P84996, Q5JWF2	uc061ybx.1
GNAS-AS1	GNAS antisense RNA 1	20q13.32	AJ251759	149775	ENSG00000235590	NR_002785		uc002xzs.3
GNRH2	gonadotropin releasing hormone 2	20p13	AF036329	2797	ENSG00000125787	NM_001501	O43555	uc002whr.2
GPCPD1	glycerophosphocholine phosphodiesterase 1	20p12.3		56261	ENSG00000125772	NM_019593	Q9NPB8	uc002wme.6
GSS	glutathione synthetase	20q11.22		2937	ENSG00000100983		P48637	uc002xbg.4
GSTM3P1	glutathione S-transferase mu 3 pseudogene 1	20p11.22	AL133325	170523	ENSG00000227693	NG_001040		
GTSF1L	gametocyte specific factor 1 like	20q13.12	AK058060	149699	ENSG00000124196	NM_176791	Q9H1H1	uc002xld.4
GZF1	GDNF inducible zinc finger protein 1	20p11.21	AK025447	64412	ENSG00000125812	NM_022482	Q9H116	uc002wsy.4
HAO1	hydroxyacid oxidase 1	20p12.3	AL021879	54363	ENSG00000101323		Q9UJM8	uc002wmw.2
HAR1A	highly accelerated region 1A (non-protein coding)	20q13.33	DQ860409, BC035016, BC047717	768096	ENSG00000225978	NR_003244		uc002yef.2
HAR1B	highly accelerated region 1B (non-protein coding)	20q13.33	DQ860410, DQ860411	768097	ENSG00000231133	NR_003245		uc031run.1
HAUS6P2	HAUS augmin like complex subunit 6 pseudogene 2	20q11.21		100133268	ENSG00000236121			
HCK	HCK proto-oncogene, Src family tyrosine kinase	20q11.21	AK026432	3055	ENSG00000101336		P08631	uc061wdn.1
HELZ2	helicase with zinc finger 2	20q13.33	AB201715	85441	ENSG00000130589	NM_001037335	Q9BYK8	uc061ynp.1
HIGD1AP15	HIG1 hypoxia inducible domain family member 1A pseudogene 15	20p12.2			ENSG00000237005			
HIGD1AP16	HIG1 hypoxia inducible domain family member 1A pseudogene 16	20q11.23			ENSG00000219608			
HM13	histocompatibility minor 13	20q11.21	AL110115	81502	ENSG00000101294	NM_178580	Q8TCT9	uc002wwc.5
HM13-AS1	HM13 antisense RNA 1	20q11.21			ENSG00000230613			uc031rsr.1
HM13-IT1	HM13 intronic transcript 1	20q11.21			ENSG00000235313			uc061wce.1
HMGB1P1	high mobility group box 1 pseudogene 1	20q13.31	AF076674	10357	ENSG00000124097	NG_016433	B2RPK0	
HMGB3P1	high mobility group box 3 pseudogene 1	20q11.22	AL049709	128872	ENSG00000225336	NR_002165		
HMGB3P2	high mobility group box 3 pseudogene 2	20q11.23	AL035420	128879	ENSG00000231470	NG_000979		
HNF4A	hepatocyte nuclear factor 4 alpha	20q13.12	X76930	3172	ENSG00000101076		P41235	uc002xlt.4
HNF4A-AS1	HNF4A antisense RNA 1	20q13.12	AF143870	101927219	ENSG00000229005			
HNRNPA1P3	heterogeneous nuclear ribonucleoprotein A1 pseudogene 3	20q13.12	AL050348	170524	ENSG00000226188	NG_001041		
HNRNPA3P2	heterogeneous nuclear ribonucleoprotein A3 pseudogene 2	20q11.23	AL031662	170526	ENSG00000227688			
HRH3	histamine receptor H3	20q13.33	AF140538	11255	ENSG00000101180	NM_007232	Q9Y5N1	uc002ycf.3
HSPA12B	heat shock protein family A (Hsp70) member 12B	20p13	AK056712	116835	ENSG00000132622	NM_052970	Q96MM6	uc002wjd.4
HSPD1P19	heat shock protein family D (Hsp60) member 1 pseudogene 19	20q13.32		100463288		NG_023062		
HSPD1P21	heat shock protein family D (Hsp60) member 1 pseudogene 21	20q13.12		100462990	ENSG00000229900	NG_023059		
HSPE1P1	heat shock protein family E (Hsp10) member 1 pseudogene 1	20q12		140895	ENSG00000234878			
HTL	high L-leucine transport	20						
ID1	inhibitor of DNA binding 1, HLH protein	20q11.21		3397	ENSG00000125968	NM_002165	P41134	uc002wwg.3
IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	20p13		3420	ENSG00000101365		O43837	uc002wgp.4
IFT52	intraflagellar transport 52	20q13.12	AF151811	51098	ENSG00000101052	NM_016004	Q9Y366	uc002xkw.4
INSM1	INSM transcriptional repressor 1	20p11.23		3642	ENSG00000173404	NM_002196	Q01101	uc002wrx.4
IQSEC3P3	IQ motif and Sec7 domain 3 pseudogene 3	20q13.33		728056				
ISM1	isthmin 1	20p12.1	AL133463	140862	ENSG00000101230		B1AKI9	uc010gce.2
ISM1-AS1	ISM1 antisense RNA 1	20p12.1	BC038745, BX092222, DB453950	100505536	ENSG00000226263	NR_040043		uc002wof.3
ITCH	itchy E3 ubiquitin protein ligase	20q11.22	AF095745	83737	ENSG00000078747		Q96J02	uc002xak.3
ITCH-AS1	ITCH antisense RNA 1	20q11.22			ENSG00000236388			uc061wis.1
ITCH-IT1	ITCH intronic transcript 1	20q11.22			ENSG00000231795			uc061wiu.1
ITPA	inosine triphosphatase	20p13	AF026816	3704	ENSG00000125877	NM_033453	Q9BY32	uc002wid.4
JAG1	jagged 1	20p12.2	U61276	182	ENSG00000101384	NM_000214	P78504	uc002wnw.3
JPH2	junctophilin 2	20q13.12	AL034419	57158	ENSG00000149596		Q9BR39	uc002xli.2
KANK1P1	KN motif and ankyrin repeat domains 1 pseudogene 1	20p12.3		100862705	ENSG00000215589			
KAT14	lysine acetyltransferase 14	20p11.23	AF252257	57325	ENSG00000149474	NM_020536	Q9H8E8	uc021wbb.2
KCNB1	potassium voltage-gated channel subfamily B member 1	20q13.13	AF026005	3745	ENSG00000158445	NM_004975	Q14721	uc002xur.3
KCNG1	potassium voltage-gated channel modifier subfamily G member 1	20q13.13	AF033383	3755	ENSG00000026559	NM_002237	Q9UIX4	uc002xwa.5
KCNK15	potassium two pore domain channel subfamily K member 15	20q13.12	AF257081	60598	ENSG00000124249	NM_022358	Q9H427	uc002xmr.4
KCNK15-AS1	KCNK15 antisense RNA 1 (head to head)	20q13.12	BF195580		ENSG00000244558			
KCNQ2	potassium voltage-gated channel subfamily Q member 2	20q13.33	AF033348	3785	ENSG00000075043	NM_172109	O43526	uc002yey.2
KCNS1	potassium voltage-gated channel modifier subfamily S member 1	20q13.12	AF043473	3787	ENSG00000124134	NM_002251	Q96KK3	uc002xnc.4
KIAA1755	KIAA1755	20q11.23	AB051542	85449	ENSG00000149633	NM_001029864	Q5JYT7	uc002xhy.2
KIF3B	kinesin family member 3B	20q11.21	AB002357	9371	ENSG00000101350	NM_004798	O15066	uc002wxq.4
KIF16B	kinesin family member 16B	20p12.1	AK000142	55614	ENSG00000089177	NM_017683	Q96L93	uc002wpg.3
KIZ	kizuna centrosomal protein	20p11.23	AF220187	55857	ENSG00000088970	NM_018474	Q2M2Z5	
KIZ-AS1	KIZ antisense RNA 1	20p11.23	BC034426	101929591	ENSG00000232712	NR_109956		
KRT18P3	keratin 18 pseudogene 3	20p11.21	AL158175	170527	ENSG00000215553	NG_001043		
KRT18P4	keratin 18 pseudogene 4	20q13.13	AL031685	391256	ENSG00000229222	NT_011362		
L3MBTL1	L3MBTL1, histone methyl-lysine binding protein	20q13.12	U89358	26013	ENSG00000185513	NM_032107	Q9Y468	uc002xkl.4
LAMA5	laminin subunit alpha 5	20q13.33	AF443072	3911	ENSG00000130702	NM_005560	O15230	uc002ycq.5
LAMA5-AS1	LAMA5 antisense RNA 1	20q13.33		101928158	ENSG00000228812			
LAMP5	lysosomal associated membrane protein family member 5	20p12.2	AL121740	24141	ENSG00000125869	NM_012261	Q9UJQ1	uc002wni.3
LAMP5-AS1	LAMP5 antisense RNA 1	20p12.2		101929329	ENSG00000225988			
LBP	lipopolysaccharide binding protein	20q11.23		3929	ENSG00000129988	NM_004139	P18428	uc002xic.3
LIME1	Lck interacting transmembrane adaptor 1	20q13.33	AK000413	54923	ENSG00000203896	NM_017806	Q9H400	uc002ygp.5
LIN28AP3	LIN28A pseudogene 3	20p12.2		441940				
LINC00028	long intergenic non-protein coding RNA 28	20q11.21	AL121751	140875	ENSG00000233354	NR_024358		uc010ztn.1
LINC00029	long intergenic non-protein coding RNA 29	20q13.33	AL117533, BC069708, BC134343	100144596	ENSG00000125514	NR_028295		uc061ykm.1
LINC00237	long intergenic non-protein coding RNA 237	20p11.23		105372556	ENSG00000225127			uc061vtk.1
LINC00261	long intergenic non-protein coding RNA 261	20p11.21		140828	ENSG00000259974	NR_001558		uc010zsp.3
LINC00266-1	long intergenic non-protein coding RNA 266-1	20q13.33	BC118988	140849	ENSG00000149656			uc061yrz.1
LINC00489	long intergenic non-protein coding RNA 489	20q11.23	DB341379	100861522	ENSG00000225759	NR_047461		uc031rte.1
LINC00494	long intergenic non-protein coding RNA 494	20q13.13		284749	ENSG00000235621			uc002xtt.3
LINC00652	long intergenic non-protein coding RNA 652	20p11.23	AF161557, BC029555	29075	ENSG00000179935	NR_026883		uc002wrg.3
LINC00654	long intergenic non-protein coding RNA 654	20p12.3	BC067900	149837	ENSG00000205181	NR_015406		uc061vgg.1
LINC00656	long intergenic non-protein coding RNA 656	20p11.21	AF258576, CA748604, DA864592	200261	ENSG00000233746	NR_034149		uc021wbi.3
LINC00658	long intergenic non-protein coding RNA 658	20p12.3	BC035192	100507629	ENSG00000226995	NR_038239		uc061vgc.1
LINC00659	long intergenic non-protein coding RNA 659	20q13.33	DA633805, DB320598	100652730	ENSG00000228705	NR_046224		uc061yjm.1
LINC00686	long intergenic non-protein coding RNA 686	20q13.33	D80415	140865	ENSG00000237687			uc061yjj.1
LINC00687	long intergenic non-protein coding RNA 687	20p12.2	BX092309	728450	ENSG00000228422	XR_109647		uc061vkj.1
LINC00851	long intergenic non-protein coding RNA 851	20p11.23		440757	ENSG00000237282	NR_034167		uc021wbc.2
LINC01056	long intergenic non-protein coding RNA 1056	20q13.33	BC038718	100144597	ENSG00000237119			
LINC01260	long intergenic non-protein coding RNA 1260	20q13.12	BC000849	79015	ENSG00000283440			
LINC01270	long intergenic non-protein coding RNA 1270	20q13.13	AK090605	284751	ENSG00000203999			
LINC01271	long intergenic non-protein coding RNA 1271	20q13.13		101927586	ENSG00000233077			
LINC01273	long intergenic non-protein coding RNA 1273	20q13.13		101927541	ENSG00000231742			
LINC01370	long intergenic non-protein coding RNA 1370	20q12	BI792917	100505663	ENSG00000237767	NR_109936		
LINC01384	long intergenic non-protein coding RNA 1384	20p11.21		101929685	ENSG00000237396			
LINC01427	long intergenic non-protein coding RNA 1427	20p11.22		101929663	ENSG00000225321			
LINC01428	long intergenic non-protein coding RNA 1428	20p12.3		101929265	ENSG00000228888			
LINC01429	long intergenic non-protein coding RNA 1429	20q13.2		101927678	ENSG00000227964			
LINC01430	long intergenic non-protein coding RNA 1430	20q13.12		101927242		NR_109893		
LINC01431	long intergenic non-protein coding RNA 1431	20p11.21		100505683	ENSG00000232645			
LINC01432	long intergenic non-protein coding RNA 1432	20p11.22		100270679	ENSG00000234435			
LINC01433	long intergenic non-protein coding RNA 1433	20p13		728228	ENSG00000230176	NR_033917		
LINC01440	long intergenic non-protein coding RNA 1440	20q13.2	BX107747	102723578	ENSG00000235166			
LINC01441	long intergenic non-protein coding RNA 1441	20q13.2		101927796	ENSG00000224008			
LINC01522	long intergenic non-protein coding RNA 1522	20q13.13		101927457	ENSG00000237423	NR_110027		
LINC01523	long intergenic non-protein coding RNA 1523	20q13.13		101060004	ENSG00000229522	NR_109942		
LINC01524	long intergenic non-protein coding RNA 1524	20q13.2	CD109474, BC045652	101927700	ENSG00000234948	NR_110038		
LINC01597	long intergenic non-protein coding RNA 1597	20q11.1	AK127732		ENSG00000205611			
LINC01598	long intergenic non-protein coding RNA 1598	20q11.1	BX100171, AA470003, AW342060		ENSG00000231934			
LINC01620	long intergenic non-protein coding RNA 1620	20q13.12		140834	ENSG00000168746	NR_132342	Q4KN68	
LINC01706	long intergenic non-protein coding RNA 1706	20p12.3		101929312	ENSG00000224711	NR_110610		
LINC01711	long intergenic non-protein coding RNA 1711	20q13.32		79160	ENSG00000268941	NR_125359		
LINC01713	long intergenic non-protein coding RNA 1713	20p12.3		105372516	ENSG00000228482			
LINC01716	long intergenic non-protein coding RNA 1716	20q13.31		105372682	ENSG00000225657	NR_136537		
LINC01718	long intergenic non-protein coding RNA 1718	20q13.33		100506470	ENSG00000229606	NR_109919		
LINC01721	long intergenic non-protein coding RNA 1721	20p11.21		400839	ENSG00000230133	NR_040102		
LINC01722	long intergenic non-protein coding RNA 1722	20p12.1		101929486	ENSG00000233048			
LINC01723	long intergenic non-protein coding RNA 1723	20p12.1		100505515	ENSG00000234265	NR_109870		
LINC01726	long intergenic non-protein coding RNA 1726	20p11.22		101929608	ENSG00000280350	NR_109878		
LINC01727	long intergenic non-protein coding RNA 1727	20p11.22		101929625	ENSG00000279082	NR_109880		
LINC01728	long intergenic non-protein coding RNA 1728	20q13.12		105372626	ENSG00000233277	NR_134577		
LINC01729	long intergenic non-protein coding RNA 1729	20p12.3		101929207	ENSG00000225640	NR_109860		
LINC01730	long intergenic non-protein coding RNA 1730	20p13		101929125	ENSG00000275491			
LINC01733	long intergenic non-protein coding RNA 1733	20p11.1		101926955	ENSG00000226203	NR_110003		
LINC01734	long intergenic non-protein coding RNA 1734	20q12		339568	ENSG00000230324	NR_027124		
LINC01742	long intergenic non-protein coding RNA 1742	20q13.32		105376992	ENSG00000275852			
LINC01746	long intergenic non-protein coding RNA 1746	20q11.23		105372608	ENSG00000274469			
LINC01747	long intergenic non-protein coding RNA 1747	20p11.21		105372566	ENSG00000230400	NR_146527		
LINC01749	long intergenic non-protein coding RNA 1749	20q13.33		63930	ENSG00000272259			
LINC01751	long intergenic non-protein coding RNA 1751	20p12.3		101929288	ENSG00000261249	NR_135005		
LINC01752	long intergenic non-protein coding RNA 1752	20p12.2		101929395	ENSG00000224961			
LINC01754	long intergenic non-protein coding RNA 1754	20q13.12		102723442	ENSG00000224565	NR_146494		
LKAAEAR1	LKAAEAR motif containing 1	20q13.33		198437	ENSG00000171695	NM_001007125	Q8TD35	
LLPHP1	LLP homolog, long-term synaptic facilitation pseudogene 1	20p11.23			ENSG00000270793			
LPIN3	lipin 3	20q12	AL132654	64900	ENSG00000132793	NM_022896	Q9BQK8	uc284pre.1
LRRN4	leucine rich repeat neuronal 4	20p12.3	AL118505	164312	ENSG00000125872	NM_152611	Q8WUT4	uc002wmo.4
LSM14B	LSM family member 14B	20q13.33	AF172328	149986	ENSG00000149657	NM_144703	Q9BX40	uc010gjy.2
LZTS3	leucine zipper tumor suppressor family member 3	20p13		9762	ENSG00000088899	NM_014731	O60299	
MACROD2	MACRO domain containing 2	20p12.1	BC101218	140733	ENSG00000172264	NM_080676	A1Z1Q3	uc002wot.4
MACROD2-AS1	MACROD2 antisense RNA 1	20p12.1	BX417920	100379174	ENSG00000235914			uc002woy.6
MACROD2-IT1	MACROD2 intronic transcript 1	20p12.1	AI026654	140848	ENSG00000227927			uc032pbl.1
MAFB	MAF bZIP transcription factor B	20q12	AF134157	9935	ENSG00000204103		Q9Y5Q3	uc002xji.4
MANBAL	mannosidase beta like	20q11.23		63905	ENSG00000101363	NM_022077	Q9NQG1	uc002xgv.4
MAP1LC3A	microtubule associated protein 1 light chain 3 alpha	20q11.22		84557	ENSG00000101460	NM_181509	Q9H492	uc002xaq.3
MAPRE1	microtubule associated protein RP/EB family member 1	20q11.21	U24166	22919	ENSG00000101367	NM_012325	Q15691	uc002wyh.3
MATN4	matrilin 4	20q13.12	AJ007581	8785	ENSG00000124159		O95460	uc061xhd.1
MAVS	mitochondrial antiviral signaling protein	20p13	DQ174270	57506	ENSG00000088888	NM_020746	Q7Z434	uc002wjw.5
MC3R	melanocortin 3 receptor	20q13.2		4159	ENSG00000124089		P41968	uc002xxb.2
MCM8	minichromosome maintenance 8 homologous recombination repair factor	20p12.3	AJ439063	84515	ENSG00000125885	NM_032485	Q9UJA3	uc002wmk.4
MCM8-AS1	MCM8 antisense RNA 1	20p12.3	AK058185	101929225	ENSG00000278719	NR_110101		
MCTS2P	malignant T cell amplified sequence 2, pseudogene	20q11.21		100101490	ENSG00000101898			
MED28P7	mediator complex subunit 28 pseudogene 7	20p11.21		729327	ENSG00000236542	NG_021979		
MGME1	mitochondrial genome maintenance exonuclease 1	20p11.23		92667	ENSG00000125871	NM_052865	Q9BQP7	uc002wqh.5
MHENCR	melanoma highly expressed competing endogenous lncRNA for miR-425 and miR-489	20q13.33		100505771	ENSG00000232442	NR_132417		
MIR1-1	microRNA 1-1	20q13.33		406904	ENSG00000199017	NR_029780		uc011aak.3
MIR1-1HG	MIR1-1 host gene	20q13.33	AL449263	128826	ENSG00000174407	NM_178463	Q9H1L0	
MIR1-1HG-AS1	MIR1-1HG antisense RNA 1	20q13.33	AK054875	253868	ENSG00000174403	NR_033263	Q96NR2	uc002ycy.5
MIR103A2	microRNA 103a-2	20p13		406896	ENSG00000199024	NR_029519		uc002wkg.3
MIR103B2	microRNA 103b-2	20p13		100302282		NR_031722		
MIR124-3	microRNA 124-3	20q13.33		406909	ENSG00000207598	NR_029670		uc002yeg.1
MIR133A2	microRNA 133a-2	20q13.33		406923	ENSG00000207764	NR_029676		uc011aal.1
MIR296	microRNA 296	20q13.32		407022		NR_029844		uc002xzr.1
MIR298	microRNA 298	20q13.32		100126296	ENSG00000216031	NR_030580		uc021wfk.1
MIR499A	microRNA 499a	20q11.22		574501	ENSG00000207635	NR_030223		uc021wcg.1
MIR499B	microRNA 499b	20q11.22		100616134		NR_039912		
MIR548AG2	microRNA 548ag-2	20q13.33		100616440		NR_039653		uc032poh.1
MIR548O2	microRNA 548o-2	20q11.23		100616190		NR_039605		
MIR644A	microRNA 644a	20q11.22		693229	ENSG00000207997	NR_030374		uc021wcb.1
MIR645	microRNA 645	20q13.13		693230	ENSG00000208018	NR_030375		uc021wet.1
MIR646	microRNA 646	20q13.33		693231	ENSG00000207802	NR_030376		uc032poe.1
MIR646HG	MIR646 host gene	20q13.33		284757	ENSG00000228340	NR_046099		
MIR647	microRNA 647	20q13.33		693232	ENSG00000207554	NR_030377		uc021wgn.1
MIR663A	microRNA 663a	20p11.1		724033	ENSG00000273684	NR_030386		uc021wbn.1
MIR663AHG	MIR663A host gene	20p11.1		284801	ENSG00000227195	NR_040095		
MIR941-1	microRNA 941-1	20q13.33		100126329		NR_030637		uc061yqg.1
MIR941-2	microRNA 941-2	20q13.33		100126339		NR_030638		
MIR941-3	microRNA 941-3	20q13.33		100126352		NR_030639		uc061yqd.1
MIR941-4	microRNA 941-4	20q13.33		100126330		NR_040032		uc021wgl.2
MIR941-5	microRNA 941-5	20q13.33		103504732		NR_128719		
MIR1257	microRNA 1257	20q13.33		100302168	ENSG00000221417	NR_031658		uc021wfv.1
MIR1289-1	microRNA 1289-1	20q11.22		100302125	ENSG00000221763	NR_031620		uc032pia.1
MIR1292	microRNA 1292	20p13		100302138	ENSG00000221062	NR_031699		uc021vzv.1
MIR1302-5	microRNA 1302-5	20q13.13		100302146	ENSG00000221091	NR_031634		uc032pmi.1
MIR1825	microRNA 1825	20q11.21		100302183	ENSG00000221667	NR_031726		uc032pgc.1
MIR1914	microRNA 1914	20q13.33		100302137	ENSG00000272045	NR_031735		uc021wgm.1
MIR3192	microRNA 3192	20p11.23		100422875		NR_036160		
MIR3193	microRNA 3193	20q11.21		100422904		NR_036161		uc021wbt.1
MIR3194	microRNA 3194	20q13.2		100422889		NR_036162		uc021weu.1
MIR3195	microRNA 3195	20q13.33		100422838		NR_130463		uc061ygh.1
MIR3196	microRNA 3196	20q13.33		100423014		NR_036163		uc021wga.1
MIR3616	microRNA 3616	20q13.12		100500814		NR_037410		uc021weq.1
MIR3617	microRNA 3617	20q13.12		100500897		NR_037411		uc032plc.1
MIR3646	microRNA 3646	20q13.12		100500813		NR_037419		uc021wed.1
MIR4325	microRNA 4325	20q13.31		100422883		NR_036219		uc021wfb.1
MIR4326	microRNA 4326	20q13.33		100422945		NR_036220		uc021wgb.1
MIR4532	microRNA 4532	20q13.32		100616353		NR_039757		uc021wfh.1
MIR4533	microRNA 4533	20q13.33		100616362		NR_039758		uc021wfu.1
MIR4755	microRNA 4755	20q11.22		100616434		NR_039911		uc021wca.1
MIR4756	microRNA 4756	20q13.2		100616225		NR_039913		uc021wey.1
MIR4758	microRNA 4758	20q13.33		100616340		NR_039915		uc021wfx.2
MIR6812	microRNA 6812	20q13.12		102465487	ENSG00000273555	NR_106870		
MIR6813	microRNA 6813	20q13.33		102466741		NR_106871		
MIR6869	microRNA 6869	20p13		102465524		NR_106929		
MIR6870	microRNA 6870	20p12.2		102465525		NR_106930		
MIR6871	microRNA 6871	20q12		102466912		NR_106931		
MIR8062	microRNA 8062	20p12.3		102465865		NR_107029		
MKKS	McKusick-Kaufman syndrome	20p12.2	AF221993	8195	ENSG00000125863		Q9NPJ1	uc002wnu.3
MKRN7P	makorin ring finger protein 7, pseudogene	20q13.12		7686	ENSG00000225849			
MLLT10P1	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10 pseudogene 1	20q11.21	AL441988	140678	ENSG00000238151			
MMP9	matrix metallopeptidase 9	20q13.12		4318	ENSG00000100985		P14780	uc002xqz.3
MMP24	matrix metallopeptidase 24	20q11.22	AF131284	10893	ENSG00000125966	NM_006690	Q9Y5R2	uc002xbu.3
MMP24OS	MMP24 opposite strand	20q11.22	BG546906, DA451679	101410538	ENSG00000126005	NM_001355003		uc031rsv.3
MOCS3	molybdenum cofactor synthesis 3	20q13.13	AF102544	27304	ENSG00000124217	NM_014484	O95396	uc002xvy.3
MRGBP	MRG domain binding protein	20q13.33	AK001776	55257	ENSG00000101189	NM_018270	Q9NV56	uc002ydi.4
MROH8	maestro heat like repeat family member 8	20q11.23	AL136172	140699	ENSG00000101353	NM_152503	Q9H579	uc061wut.1
MRPS11P1	mitochondrial ribosomal protein S11 pseudogene 1	20p11.23	AL109953	128774	ENSG00000225803	NG_000977		
MRPS16P2	mitochondrial ribosomal protein S16 pseudogene 2	20q13.32		128609	ENSG00000232925			
MRPS26	mitochondrial ribosomal protein S26	20p13	AB051354	64949	ENSG00000125901	NM_030811	Q9BYN8	uc002whs.4
MRPS33P4	mitochondrial ribosomal protein S33 pseudogene 4	20q13.2		359777	ENSG00000234821	NG_002893		
MRPS36P6	mitochondrial ribosomal protein S36 pseudogene 6	20p12.1	AY135345	347707		NG_002713		
MSK38	antigen identified by monoclonal antibody O5	20		4473				
